,O*NET-SOC Code,Element Name,Data Value
56,11-1011.00,Assisting and Caring for Others,2.18
150,11-1011.00,"Cramped Work Space, Awkward Positions",1.45
51,11-1011.00,Fine Arts,0.87
47,11-1011.00,Finger Dexterity,2.0
45,11-1011.00,Manual Dexterity,0.0
27,11-1011.00,Negotiation,4.62
11,11-1011.00,Originality,4.25
25,11-1011.00,Persuasion,5.0
21,11-1011.00,Social Perceptiveness,4.25
138,11-1011.03,Assisting and Caring for Others,2.23
488,11-1011.03,"Cramped Work Space, Awkward Positions",1.38
117,11-1011.03,Fine Arts,0.96
151,11-1011.03,Finger Dexterity,2.0
149,11-1011.03,Manual Dexterity,0.0
97,11-1011.03,Negotiation,3.25
115,11-1011.03,Originality,4.0
95,11-1011.03,Persuasion,3.88
91,11-1011.03,Social Perceptiveness,3.62
220,11-1021.00,Assisting and Caring for Others,2.94
826,11-1021.00,"Cramped Work Space, Awkward Positions",1.53
183,11-1021.00,Fine Arts,0.47
255,11-1021.00,Finger Dexterity,1.38
253,11-1021.00,Manual Dexterity,0.75
167,11-1021.00,Negotiation,3.62
219,11-1021.00,Originality,3.38
165,11-1021.00,Persuasion,3.5
161,11-1021.00,Social Perceptiveness,4.0
302,11-2011.00,Assisting and Caring for Others,2.37
1164,11-2011.00,"Cramped Work Space, Awkward Positions",1.38
249,11-2011.00,Fine Arts,2.3
359,11-2011.00,Finger Dexterity,1.12
357,11-2011.00,Manual Dexterity,0.38
237,11-2011.00,Negotiation,3.75
323,11-2011.00,Originality,3.88
235,11-2011.00,Persuasion,3.88
231,11-2011.00,Social Perceptiveness,4.0
384,11-2021.00,Assisting and Caring for Others,2.44
1502,11-2021.00,"Cramped Work Space, Awkward Positions",1.2
315,11-2021.00,Fine Arts,1.32
463,11-2021.00,Finger Dexterity,1.25
461,11-2021.00,Manual Dexterity,0.0
307,11-2021.00,Negotiation,3.88
427,11-2021.00,Originality,4.0
305,11-2021.00,Persuasion,4.38
301,11-2021.00,Social Perceptiveness,4.0
466,11-2022.00,Assisting and Caring for Others,2.52
1840,11-2022.00,"Cramped Work Space, Awkward Positions",1.39
381,11-2022.00,Fine Arts,0.61
567,11-2022.00,Finger Dexterity,1.25
565,11-2022.00,Manual Dexterity,0.62
377,11-2022.00,Negotiation,3.88
531,11-2022.00,Originality,3.88
375,11-2022.00,Persuasion,4.38
371,11-2022.00,Social Perceptiveness,4.12
548,11-2031.00,Assisting and Caring for Others,2.43
2178,11-2031.00,"Cramped Work Space, Awkward Positions",1.07
447,11-2031.00,Fine Arts,2.27
671,11-2031.00,Finger Dexterity,1.62
669,11-2031.00,Manual Dexterity,0.0
447,11-2031.00,Negotiation,3.62
635,11-2031.00,Originality,4.0
445,11-2031.00,Persuasion,4.0
441,11-2031.00,Social Perceptiveness,4.25
630,11-3011.00,Assisting and Caring for Others,3.23
2516,11-3011.00,"Cramped Work Space, Awkward Positions",1.52
513,11-3011.00,Fine Arts,0.21
775,11-3011.00,Finger Dexterity,2.12
773,11-3011.00,Manual Dexterity,1.62
517,11-3011.00,Negotiation,3.25
739,11-3011.00,Originality,3.12
515,11-3011.00,Persuasion,3.12
511,11-3011.00,Social Perceptiveness,3.75
712,11-3021.00,Assisting and Caring for Others,2.38
2854,11-3021.00,"Cramped Work Space, Awkward Positions",1.57
579,11-3021.00,Fine Arts,0.74
879,11-3021.00,Finger Dexterity,2.0
877,11-3021.00,Manual Dexterity,2.0
587,11-3021.00,Negotiation,3.25
843,11-3021.00,Originality,3.5
585,11-3021.00,Persuasion,3.5
581,11-3021.00,Social Perceptiveness,3.75
794,11-3031.01,Assisting and Caring for Others,2.03
3192,11-3031.01,"Cramped Work Space, Awkward Positions",1.07
645,11-3031.01,Fine Arts,0.3
983,11-3031.01,Finger Dexterity,2.12
981,11-3031.01,Manual Dexterity,0.0
657,11-3031.01,Negotiation,3.25
947,11-3031.01,Originality,3.38
655,11-3031.01,Persuasion,3.75
651,11-3031.01,Social Perceptiveness,3.62
876,11-3031.02,Assisting and Caring for Others,2.33
3530,11-3031.02,"Cramped Work Space, Awkward Positions",1.23
711,11-3031.02,Fine Arts,0.34
1087,11-3031.02,Finger Dexterity,2.0
1085,11-3031.02,Manual Dexterity,0.38
727,11-3031.02,Negotiation,3.5
1051,11-3031.02,Originality,3.75
725,11-3031.02,Persuasion,4.0
721,11-3031.02,Social Perceptiveness,4.0
958,11-3051.00,Assisting and Caring for Others,3.15
3868,11-3051.00,"Cramped Work Space, Awkward Positions",1.5
777,11-3051.00,Fine Arts,0.1
1191,11-3051.00,Finger Dexterity,2.5
1189,11-3051.00,Manual Dexterity,1.62
797,11-3051.00,Negotiation,3.75
