skill_id,skill_name,candidate_confidence
0,a team oriented mentality,nan
1,ability for analytical thinking,nan
2,ability for long working hours,nan
3,ability for multitasking under tight deadlines,nan
4,ability for results orientation,nan
5,ability for strategic thinking,nan
6,ability of monitoring results assessment,nan
7,ability of training results assessment,nan
8,ability to achieve results,nan
9,ability to adapt to dynamic business environment,nan
10,ability to adapt to rapidly changing situations,nan
11,ability to adapt,0.9711427222
12,ability to adhere to deadlines,nan
13,ability to anticipate and prevent problems,nan
14,ability to anticipate problems,nan
15,ability to appropriately make decisions,nan
16,ability to articulate problems,nan
17,ability to be a member of a team,nan
18,ability to be affirmative,nan
19,ability to be flexible in demanding situations,nan
20,ability to be flexible,nan
21,ability to be part of a big team,nan
22,ability to be part of a multicultural team,nan
23,ability to build and maintain lasting client relationships,nan
24,ability to build partnership,nan
25,ability to carry out numerous tasks,nan
26,ability to clearly articulate problems,nan
27,ability to communicate effectively at all levels,nan
28,ability to communicate on telephone,nan
29,ability to communicate with clients,nan
30,ability to communicate with multinational groups,nan
31,ability to complete assigned tasks according to deadlines,nan
32,ability to complete assigned tasks,nan
33,ability to complete tasks according to deadlines,nan
34,ability to complete work according to deadlines,nan
35,ability to concisely articulate problems,nan
36,ability to contribute to project teams,nan
37,ability to cooperation,0.9573691189
38,ability to coordinate marketing,nan
39,ability to coordinate project staff,nan
40,ability to coordinate,1
41,ability to cope with stress,nan
42,ability to demonstrate a sense of urgency to achieve goals,nan
43,ability to demonstrate creativity to problem solving,nan
44,ability to epxress thoughts,nan
45,ability to establish connections with new retailers,nan
46,ability to establish connections,nan
47,ability to establish working relationships,nan
48,ability to exchange ideas,nan
49,ability to express thoughts clearly,nan
50,ability to focus on details,nan
51,ability to focus on meet deadlines,nan
52,ability to focus on multiple tasks,nan
53,ability to focus on priorities,nan
54,ability to foster a spirit of unity,nan
55,ability to get along with people,nan
56,ability to get fun solving technical problems,nan
57,ability to grasp a problem,nan
58,ability to handle multiple priorities,nan
59,ability to handle multiple tasks simultaneously,nan
60,ability to handle multiple tasks while adhering to deadlines,nan
61,ability to handle quick turnaround,nan
62,ability to handle simultaneous multiple projects,nan
63,ability to handle tight deadlines,nan
64,ability to identify problems,nan
65,ability to independently manage multiple projects at once,nan
66,ability to lead in a team environment,nan
67,ability to lead people,nan
68,ability to lead project teams,nan
69,ability to lead resultsbased management,nan
70,ability to lead strategic planning,nan
71,ability to learn easily,nan
72,ability to maintain a spirit of unity,nan
73,ability to maintain confidentiality of the information,nan
74,ability to make decisions,nan
75,ability to make trade offs,nan
76,ability to manage a team,nan
77,ability to manage people,nan
78,ability to manage project teams,nan
79,ability to manage time,nan
80,ability to manage,1
81,ability to meet a schedule,nan
82,ability to meet deadlines under pressure,nan
83,ability to meet tight deadlines,nan
84,ability to motivate others in a team environment,nan
85,ability to motivate others,nan
86,ability to multi task,nan
87,ability to organize and prioritize workload,nan
88,ability to organize project teams,nan
89,ability to organize work,nan
90,ability to organize workload,nan
91,ability to overcome challenges,nan
92,ability to perform multiple tasks at the same time,nan
93,ability to plan work,nan
94,ability to present ideas in a concise manner,nan
95,ability to present ideas in a wellorganized manner,nan
96,ability to present ideas,nan
97,ability to present information in a concise manner,nan
98,ability to present information in a wellorganized manner,nan
99,ability to prevent problems,nan
100,ability to prioritise workload activities,nan
101,ability to prioritize workload,nan
102,ability to prioritize,1
103,ability to promptly respond to rapidly changing situations,nan
104,ability to propose alternatives to problem solving,nan
105,ability to propose practical solutions,nan
106,ability to report,0.993853421
107,ability to respect deadlines,nan
108,ability to respond to rapidly changing situations,nan
109,ability to sell,0.9081245203
110,ability to take responsibilities,nan
111,ability to thin creatively,nan
112,ability to undertake multiple tasks,nan
113,ability to work alone,nan
114,ability to work and communicate with multinational groups,nan
115,ability to work as part of a team on multiple tasks,nan
116,ability to work being motivated,nan
117,ability to work being selfdirected,nan
118,ability to work creatively,nan
119,ability to work diplomatically,nan
120,ability to work efficiently without supervision,nan
121,ability to work efficiently,nan
122,ability to work in a flexible schedule,nan
123,ability to work in a multitask environment,nan
124,ability to work in a team environment,nan
125,ability to work in a team while being selfdirected,nan
126,ability to work in international teams,nan
127,ability to work in multidisciplinary teams,nan
128,ability to work in stressful situations,nan
129,ability to work in timely fashion,nan
130,ability to work independently in a fastpaced environment,nan
131,ability to work independently on multiple tasks,nan
132,ability to work under strict deadlines,nan
133,ability to work unsupervised,nan
134,ability to work with continuous quality improvement,nan
135,ability to work with minimum supervision,nan
136,ability to work with multidisciplinary team,nan
137,ability to work with multinational groups,nan
138,ability to work within flexible time frames,nan
139,ability to work within strict time,nan
140,ability to work within tight deadlines,nan
141,ability to work within time frames,nan
142,ability to work without supervision,nan
143,able to adhere to deadlines,nan
144,able to drive important projects successfully,nan
145,able to understand tasks quickly,nan
146,abstract thinking,1
147,accuracy in work,0.9715482935
148,accurate,0.8474296161
149,achieving goals,0.7311416887
150,active person,0.8637786153
151,active personality,1
152,advocacy skills,1
153,ambitious,0.8528253416
154,assertive,0.9888623955
